Cod_Id;varobj;x01;x02;x03;x04;x05;x06;x07;x08;x09;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20;x21;x22;x23;x24;x25;x26;x27;x28;x29;x30;x31;x32;x33;x34;x35;x36;x37;x38;x39;x40
27;404;8;18;20;35;50;58;85;19;20;55;57;37;71;73;21;19;20;44;39;42;58;20;20;20;36;38;37;56;56;19;16;20;18;33;39;30;49;53;48;61
28;407;10;17;21;36;51;57;86;18;22;53;53;34;64;70;22;18;19;41;41;45;53;20;22;19;36;40;35;48;56;17;20;19;20;37;35;38;56;47;52;71
29;413;8;24;18;33;65;51;78;22;19;62;58;29;73;79;20;19;19;40;38;42;56;16;18;20;34;37;36;51;55;19;18;22;23;40;39;38;57;57;57;68
30;398;6;21;18;25;59;54;65;19;19;56;56;35;72;74;19;17;18;36;37;42;52;15;20;19;36;36;34;55;50;24;19;22;18;41;39;35;55;54;48;67
31;426;9;18;19;36;55;52;84;23;22;65;64;38;76;79;15;21;20;36;43;45;52;18;18;23;36;34;42;52;47;23;22;17;20;42;33;33;62;47;45;75
32;431;9;23;21;35;65;60;82;22;20;62;62;34;81;75;21;17;21;44;41;49;58;20;22;18;36;38;34;55;52;20;20;19;18;37;37;38;54;53;51;67
33;412;6;19;18;30;61;51;73;23;22;64;64;34;75;82;19;19;18;40;42;44;54;19;22;20;36;39;39;52;55;18;22;20;21;43;38;36;57;52;50;70
34;409;9;19;17;36;56;50;86;22;18;63;62;31;75;74;20;21;22;37;45;43;53;24;19;17;43;35;35;62;51;21;20;22;22;34;38;37;50;55;53;66
35;404;5;21;20;28;60;58;70;20;19;57;57;33;67;77;21;19;21;39;42;44;55;18;20;17;31;36;31;44;54;21;20;18;19;34;36;34;51;55;50;65
36;422;9;18;20;36;56;58;86;22;19;62;64;32;75;78;21;21;16;42;40;38;58;20;22;20;40;40;36;57;54;23;21;17;20;37;37;34;53;53;48;65
37;410;9;23;19;34;64;55;78;17;19;51;53;33;68;69;18;20;23;37;47;45;50;19;21;17;40;39;34;55;54;19;21;21;23;40;37;36;60;55;51;73
38;424;9;20;20;36;57;59;87;23;19;63;60;32;78;75;21;21;17;42;46;41;57;19;22;18;38;35;36;51;47;18;21;17;19;39;35;36;52;51;52;66
39;407;10;18;20;38;57;55;90;17;17;48;52;36;66;70;19;19;17;35;41;39;51;21;19;17;36;38;33;52;53;18;15;17;19;34;36;35;47;53;51;60
40;435;14;22;22;47;61;60;108;19;21;57;51;33;71;69;22;18;19;43;40;43;56;21;17;17;39;34;30;57;53;23;22;18;19;40;34;40;58;49;50;74
41;398;6;20;18;31;61;50;71;20;20;57;59;32;72;76;20;17;18;40;39;40;57;20;22;22;38;40;38;55;56;22;22;21;23;40;35;39;54;50;52;66
42;426;11;21;21;38;57;57;87;22;17;63;61;31;76;79;16;21;19;38;43;45;51;21;16;23;38;33;43;53;45;18;20;21;14;39;40;30;57;58;44;69
43;402;8;18;19;37;57;50;85;20;19;54;54;32;68;70;21;21;19;43;41;41;59;19;21;19;42;40;32;58;57;15;20;20;19;39;37;33;53;53;44;67
44;419;11;16;23;38;50;64;90;19;19;56;54;30;72;70;20;18;20;40;39;46;52;17;17;21;33;34;36;48;51;22;21;21;20;38;39;34;57;55;48;72
45;413;6;21;19;29;59;55;70;21;23;59;60;37;75;78;24;20;19;41;44;41;57;22;19;20;40;39;37;55;51;19;25;21;20;38;39;35;56;55;50;67
46;424;5;21;20;28;59;60;72;23;19;68;64;34;81;80;18;19;16;39;43;38;51;21;18;21;39;35;38;54;50;21;14;18;18;35;36;31;52;51;44;68
47;432;8;20;22;36;59;60;85;22;19;60;64;34;70;79;24;26;16;49;46;42;66;18;19;19;37;34;35;56;51;19;17;17;17;37;33;34;51;51;48;68
48;417;11;18;20;40;53;53;93;22;19;62;60;31;80;74;21;20;23;40;43;49;54;19;21;20;36;38;39;48;52;18;17;18;17;33;35;34;45;51;50;61
49;407;8;21;19;36;61;55;86;17;22;48;54;37;62;69;20;20;18;42;40;42;57;20;17;19;39;35;33;58;53;18;17;18;22;36;35;39;55;51;54;73
50;394;9;20;19;36;61;51;81;16;16;51;50;29;65;66;21;21;20;46;40;41;64;17;20;18;32;36;32;44;50;20;22;21;20;39;41;36;52;56;52;66
51;405;9;20;19;41;56;54;96;16;19;48;50;35;67;66;19;21;20;42;41;44;59;20;18;22;34;37;36;50;50;23;20;22;19;37;40;35;51;56;49;66
52;420;12;21;23;42;58;60;100;17;24;48;51;39;67;66;20;17;20;41;35;46;53;19;18;21;34;35;37;46;49;22;17;16;19;36;34;31;49;52;47;62
53;395;8;17;18;36;52;51;87;20;17;58;56;31;75;70;21;19;16;44;39;38;63;20;23;18;38;39;32;51;54;21;17;17;18;36;35;33;51;51;46;69
54;400;7;18;21;33;55;58;80;18;18;55;53;31;69;68;17;18;18;43;35;42;60;17;20;21;36;38;35;55;58;20;16;19;22;34;37;37;49;52;51;62
55;408;10;18;19;37;54;53;86;20;18;58;58;31;71;77;20;21;20;46;41;47;63;20;22;21;37;40;36;50;54;20;16;22;20;31;35;36;47;49;50;66
56;393;8;18;16;33;53;47;83;20;21;59;58;33;72;73;20;18;19;44;42;43;58;22;21;17;42;40;34;55;59;23;17;16;19;34;35;36;52;49;50;68
57;396;9;21;18;34;55;50;83;20;19;55;59;33;71;75;15;18;17;38;40;37;53;20;18;23;37;35;39;53;48;21;17;17;18;36;34;37;51;54;51;65
58;402;9;17;21;36;48;59;88;17;20;53;53;36;63;67;23;19;23;40;40;45;57;19;20;20;35;34;37;52;46;18;20;21;16;39;40;32;56;53;47;71
59;406;9;21;19;33;62;55;81;19;18;54;53;34;69;68;22;19;21;44;44;44;61;20;20;17;37;37;34;54;50;18;15;23;18;35;43;39;49;60;53;64
60;404;8;18;18;35;52;55;87;22;16;60;63;30;74;80;18;19;19;41;38;43;56;26;22;19;43;43;32;59;59;20;21;18;20;39;37;36;53;52;50;70
61;406;7;20;18;33;54;55;79;21;17;63;61;32;76;75;19;19;18;41;43;45;55;20;18;20;40;33;40;55;49;17;19;22;19;35;40;34;54;59;49;66
62;411;9;17;20;35;52;55;84;21;20;60;59;35;72;76;18;21;18;39;41;42;55;20;17;20;36;35;38;52;49;18;21;24;23;36;41;36;51;56;49;65
63;405;8;19;19;35;56;58;83;19;19;58;55;35;75;70;21;18;22;42;39;45;58;20;20;22;39;37;37;51;50;17;18;17;21;33;32;37;49;46;53;62
64;398;9;19;19;36;59;55;86;17;19;49;55;33;63;72;17;17;24;39;42;46;57;20;17;17;39;33;32;55;50;19;21;20;22;39;36;38;56;52;50;73
65;398;6;22;19;29;62;55;72;17;21;47;51;35;61;68;24;23;22;45;42;45;65;16;18;20;32;35;34;49;52;22;17;19;20;38;39;37;55;57;53;69
66;397;5;21;20;24;59;55;64;19;22;54;57;33;71;72;18;22;19;37;46;41;51;18;18;20;39;36;36;58;54;22;17;21;20;36;41;41;50;57;57;65
67;426;8;21;21;32;59;59;79;23;20;66;66;34;79;84;21;18;18;44;41;41;61;20;18;20;38;34;35;59;53;17;19;23;20;36;42;33;51;61;47;62
68;407;10;17;17;40;53;50;97;20;22;58;58;37;73;73;18;20;20;43;40;46;59;19;18;16;37;36;28;54;52;19;18;19;22;34;37;37;51;54;53;64
69;413;12;20;19;39;55;55;93;21;19;57;61;34;73;77;19;18;20;39;40;45;54;21;18;18;39;35;37;57;54;21;19;19;20;34;35;37;50;51;51;66
70;408;9;23;21;33;62;58;80;19;20;56;54;32;71;70;19;15;22;40;39;47;58;16;18;15;32;34;30;48;49;17;16;18;18;36;36;36;53;52;46;64
71;416;9;18;20;36;55;55;86;20;23;57;59;38;72;76;19;20;20;38;39;41;53;19;24;19;32;39;34;46;53;19;21;18;19;37;34;38;55;48;51;74
72;412;10;22;18;34;59;57;78;19;18;59;54;33;75;69;20;20;21;45;44;44;59;22;20;20;38;40;32;55;54;18;23;21;18;38;42;33;57;56;47;70
73;422;9;20;22;36;58;62;86;20;19;59;56;35;76;73;18;19;21;38;40;42;54;19;18;20;36;37;33;50;52;17;18;21;19;36;37;34;52;53;48;68
74;416;10;18;19;40;56;51;91;20;21;58;58;38;72;74;21;21;16;41;42;35;55;20;20;24;37;37;36;54;54;20;21;16;22;39;35;37;52;53;52;67
75;391;8;16;18;33;49;51;79;19;20;57;60;31;72;75;22;23;23;44;47;47;59;18;19;18;35;37;34;53;53;19;19;16;20;36;33;34;52;46;47;64
76;431;10;19;23;36;55;63;85;20;22;57;62;40;72;76;20;18;19;42;41;46;51;20;21;19;36;41;34;53;55;20;18;17;23;37;34;40;54;49;55;65
77;400;9;20;20;34;57;54;84;18;21;53;52;33;67;66;22;19;20;44;37;44;59;17;20;20;34;38;33;51;50;21;21;18;17;39;40;33;53;55;50;67
78;410;11;24;21;36;68;56;86;17;18;50;52;30;65;67;19;17;19;40;38;46;57;22;22;20;42;41;33;58;55;23;17;18;20;35;35;36;53;52;51;67
79;401;11;21;17;39;59;49;93;17;20;52;49;37;64;63;16;18;20;41;41;43;56;24;23;18;38;36;31;52;53;19;21;18;20;38;33;37;55;53;49;72
80;405;8;19;20;34;57;60;87;17;19;53;55;32;65;68;21;20;16;41;46;38;56;22;22;19;37;39;37;47;55;20;22;20;20;42;36;32;56;50;46;67
81;397;7;21;16;31;59;46;76;21;22;56;65;34;68;85;21;23;20;44;44;42;58;20;21;20;40;41;39;56;53;20;18;21;18;36;38;33;52;57;47;69
82;407;8;21;21;34;58;60;85;20;17;59;59;31;67;77;23;17;17;43;42;40;62;19;20;18;34;34;37;50;52;20;19;21;17;34;40;32;53;55;43;68
83;406;10;24;17;41;66;49;95;18;20;55;54;30;68;69;21;19;22;38;41;46;57;20;22;21;37;42;37;53;57;20;19;20;17;39;38;36;51;51;50;66
84;407;7;17;20;34;54;59;79;19;19;53;58;35;70;73;18;22;18;38;41;41;56;16;20;14;33;40;33;51;57;19;20;19;20;41;38;36;59;53;50;74
85;401;10;18;17;38;53;53;90;19;18;56;57;31;66;72;15;19;20;37;41;45;50;21;22;22;40;42;37;56;54;15;19;16;22;37;32;40;52;49;54;66
86;407;9;18;18;37;56;52;87;19;22;59;54;33;76;70;18;18;18;41;38;38;55;19;16;21;36;34;36;54;50;20;20;17;19;38;35;35;53;49;53;66
87;431;12;21;20;44;59;54;103;23;19;65;61;30;78;80;24;20;19;46;39;41;58;21;20;25;39;34;42;55;48;16;17;18;21;33;36;35;50;50;51;64
88;424;10;23;23;36;64;60;86;20;20;57;57;33;71;72;21;19;24;43;42;47;59;19;13;17;39;31;34;56;47;19;18;18;18;37;36;35;55;50;49;70
89;379;5;18;20;30;55;53;75;15;16;47;46;33;62;59;23;19;17;40;39;43;51;19;21;18;38;38;33;51;54;19;19;23;18;36;41;36;52;57;50;66
90;412;10;19;20;39;53;58;93;17;25;52;51;41;68;65;15;19;18;35;39;42;46;16;22;19;33;40;36;46;57;21;18;19;21;30;39;37;44;56;53;55
91;414;10;18;20;40;52;57;93;20;21;57;58;33;70;75;21;21;22;41;43;45;55;17;18;20;33;35;36;47;51;25;23;19;15;41;35;31;59;50;49;74
92;396;5;24;19;27;68;54;68;15;20;49;49;34;66;66;20;20;19;38;36;41;55;21;21;18;39;38;32;57;53;19;22;19;21;40;37;37;51;54;46;66
93;420;12;20;20;40;62;57;94;18;19;54;55;34;67;70;22;18;21;42;39;47;58;20;22;17;36;38;35;50;55;19;21;19;21;37;37;34;50;53;49;63
94;414;13;16;18;45;52;52;100;19;17;57;57;31;71;72;22;21;19;41;43;42;55;20;18;19;41;33;37;57;42;18;19;21;20;35;39;36;51;51;52;65
95;414;13;16;20;42;51;58;97;18;24;54;53;38;63;68;17;18;18;38;37;39;54;21;15;18;36;33;36;52;48;19;15;22;22;32;39;37;49;55;50;61
96;415;9;21;19;38;59;54;95;23;21;61;65;34;75;80;20;16;20;44;33;43;57;18;19;19;37;37;34;51;53;20;20;19;20;36;40;35;52;53;48;68
97;406;10;20;19;39;61;53;92;16;20;49;47;35;61;65;19;21;19;38;42;43;52;18;22;18;35;43;35;50;62;19;16;19;20;34;40;37;50;58;52;63
98;410;9;18;21;33;55;56;82;20;17;58;61;30;69;77;20;19;20;39;42;40;56;21;21;22;39;38;39;53;54;18;16;20;22;30;36;41;45;56;53;58
99;412;10;22;19;36;61;57;85;20;19;56;57;31;67;73;21;18;20;42;44;43;55;19;20;19;36;39;35;50;57;18;21;25;19;36;44;34;50;59;47;63
100;401;9;21;19;37;56;55;90;17;21;50;47;39;65;62;20;18;17;43;42;40;56;22;21;22;40;40;37;55;57;21;16;17;24;33;37;39;49;54;52;63
101;386;11;17;19;38;55;51;94;17;17;48;51;30;60;69;23;17;21;45;33;44;59;21;23;16;35;40;33;51;57;17;19;22;22;37;40;37;54;54;50;67
102;402;8;24;18;34;63;50;85;17;22;54;54;36;70;71;19;20;22;39;41;44;53;18;20;18;34;38;35;47;55;17;19;21;17;40;38;31;53;59;44;67
103;432;11;23;23;36;62;64;82;18;23;57;54;36;72;67;17;20;20;37;43;40;52;18;22;17;39;39;34;52;58;21;17;20;18;32;35;32;48;50;44;63
104;388;9;20;14;36;57;42;90;17;18;51;52;34;65;68;18;21;18;40;41;41;51;24;18;22;41;38;35;60;56;21;22;23;22;40;38;35;52;56;50;67
105;392;11;18;18;39;54;53;96;15;18;48;46;33;59;65;20;22;18;41;42;42;57;18;17;20;37;34;37;54;50;20;18;19;16;36;36;30;49;55;45;64
106;402;11;20;20;39;56;55;91;17;16;52;49;31;66;65;21;19;18;41;40;41;58;17;18;18;30;34;34;43;52;17;19;19;18;36;37;34;51;56;49;65
107;427;12;19;19;42;60;52;97;21;21;60;60;38;75;77;16;20;22;39;44;44;53;20;21;18;37;40;37;56;55;20;19;19;19;34;37;33;50;53;47;63
108;403;8;20;20;34;58;54;80;21;18;63;59;30;78;74;22;13;18;47;33;44;65;20;21;21;43;44;35;61;60;22;18;17;20;34;34;35;50;49;51;62
109;421;10;18;23;39;53;60;94;21;22;61;58;32;74;73;19;19;20;40;39;41;57;22;20;20;39;38;33;54;54;18;19;21;20;35;39;34;48;56;49;62
110;421;12;23;22;40;61;58;94;18;20;51;58;37;66;72;19;18;19;37;40;44;52;19;21;21;34;34;37;53;49;21;23;12;21;45;31;38;62;48;54;76
111;429;9;22;23;37;63;64;86;18;23;52;55;39;68;73;20;17;23;43;38;48;60;20;17;22;37;33;40;52;50;18;21;18;23;45;33;37;63;51;52;77
112;391;7;19;16;30;53;48;77;18;25;55;56;36;65;73;17;22;18;39;44;37;55;21;19;17;40;36;33;55;52;17;21;16;22;39;36;33;57;51;45;72
113;404;13;22;17;43;62;44;99;18;15;56;54;30;67;66;15;19;22;35;43;47;52;22;19;18;43;35;34;63;51;20;20;18;18;39;37;32;56;53;47;72
114;389;7;21;20;32;57;54;80;16;16;52;53;30;68;69;18;17;19;39;39;39;51;17;17;20;35;33;34;53;47;21;21;19;20;39;38;37;56;54;52;70
115;418;12;16;18;43;51;52;97;21;25;60;60;38;75;76;19;18;19;41;38;45;59;21;22;19;42;38;36;56;51;18;20;21;17;39;40;34;51;58;49;63
116;399;9;16;19;32;47;56;77;22;21;63;61;31;75;77;18;19;17;41;38;38;59;18;19;17;37;38;32;53;54;20;20;18;18;38;35;33;52;50;50;67
117;412;11;21;21;39;61;60;91;16;19;51;53;33;66;69;19;17;23;42;37;48;58;18;17;22;35;34;38;51;50;20;23;19;19;39;37;32;55;55;49;70
118;405;4;19;24;28;57;64;70;19;19;53;54;33;64;66;19;18;21;40;41;46;55;16;21;21;30;41;36;46;60;19;24;19;24;42;34;41;55;49;52;68
119;408;8;21;22;29;62;63;69;17;16;52;53;29;69;68;18;21;22;43;43;42;59;22;23;18;39;41;35;56;57;19;21;18;21;42;37;33;57;55;42;74
120;419;11;19;23;39;56;60;93;19;18;56;57;32;71;77;20;19;17;43;39;37;61;21;15;19;41;31;35;59;48;18;14;22;19;32;40;36;47;52;50;60
121;402;10;14;22;39;40;55;96;22;19;59;60;33;73;79;23;16;18;46;37;41;64;19;18;20;36;34;37;53;53;21;23;19;20;44;36;35;57;51;52;69
122;389;7;16;18;33;51;52;78;18;20;53;53;35;65;68;20;19;20;43;46;41;57;16;20;15;33;35;34;52;51;19;17;19;20;34;39;40;48;53;53;61
123;401;7;20;19;33;55;52;82;22;16;61;65;28;72;79;18;17;21;40;36;43;60;18;18;21;36;35;36;54;47;21;21;18;18;41;36;35;55;48;51;72
124;404;8;20;19;33;56;55;78;17;20;55;51;36;71;68;21;19;21;45;38;43;59;13;17;18;32;35;32;46;49;21;24;16;23;41;31;42;60;48;56;75
125;401;8;15;18;36;46;50;86;21;21;57;62;37;71;79;18;20;19;40;40;45;53;20;20;18;38;39;36;53;58;19;17;20;18;33;36;34;45;52;51;60
126;430;15;18;21;47;56;60;107;20;20;58;59;33;68;75;14;16;18;36;36;43;52;21;19;22;42;36;36;60;51;19;22;19;21;40;35;34;54;50;51;68
127;417;9;21;23;37;57;61;88;19;18;57;56;32;69;75;23;19;19;45;38;43;63;19;18;19;37;38;38;54;55;18;19;20;21;34;41;36;48;58;50;64
128;406;8;19;17;38;55;50;88;19;22;57;54;39;74;69;19;16;18;43;40;40;58;20;22;19;35;39;34;51;50;17;18;21;19;38;35;36;53;49;51;65
129;390;8;18;19;35;56;53;85;17;19;51;50;33;65;66;18;18;16;37;35;38;51;21;16;18;38;39;34;50;53;19;18;23;19;34;43;36;46;59;52;58
130;411;11;19;21;38;57;57;89;19;21;55;56;34;67;70;20;16;19;45;37;43;60;22;18;22;39;33;38;57;44;17;22;19;19;40;34;35;56;48;50;72
131;408;7;19;19;30;57;57;73;20;18;58;56;32;71;73;23;22;20;44;41;44;59;20;21;20;37;40;36;50;58;24;21;18;18;37;36;35;52;52;47;69
132;413;10;22;19;37;62;54;89;17;18;50;54;38;63;68;19;20;19;36;38;41;51;20;19;19;35;34;29;52;48;19;20;20;18;37;36;37;52;50;51;68
133;378;11;20;14;40;54;44;96;13;19;42;44;36;54;60;22;20;20;42;40;45;56;19;18;20;38;36;34;53;49;19;15;23;20;33;38;36;50;57;55;64
134;415;10;20;20;36;56;55;88;20;23;59;55;38;78;70;19;20;20;41;39;46;59;16;22;19;37;41;35;55;58;19;18;21;17;33;40;29;47;59;47;60
135;422;12;23;20;39;67;49;88;21;18;57;62;30;70;79;24;20;17;45;41;39;62;18;19;18;38;36;36;54;50;19;20;16;22;38;34;36;57;48;50;73
136;410;8;22;16;31;63;49;76;22;18;62;59;30;77;73;17;22;20;37;42;44;51;19;22;17;38;42;32;56;55;19;20;17;16;35;34;30;50;50;47;65
137;407;8;21;21;31;59;63;73;17;22;49;54;32;62;67;18;21;17;41;45;40;57;17;20;21;34;41;38;48;55;18;20;21;18;36;38;35;51;54;51;65
138;414;8;19;19;34;57;55;83;21;19;61;60;33;77;75;22;20;22;41;36;45;57;17;18;20;34;37;40;51;52;20;16;19;18;37;36;34;53;53;49;64
139;427;8;23;18;35;62;50;84;26;21;72;68;32;88;84;17;19;19;40;35;42;53;19;18;18;37;34;34;48;50;23;21;22;20;37;40;32;52;56;48;68
140;402;6;19;18;29;56;54;72;18;18;57;56;33;70;73;21;23;20;40;48;42;54;21;27;19;38;41;36;50;53;21;19;17;17;35;34;32;53;49;46;67
141;414;9;23;20;35;68;53;81;19;16;58;56;29;72;73;17;18;22;41;40;42;56;22;22;19;39;39;36;57;55;16;20;20;24;36;36;36;51;52;51;65
142;398;8;21;20;32;58;57;76;20;15;57;57;28;71;74;16;15;18;39;35;40;60;20;17;16;37;36;31;54;52;21;22;23;21;38;45;38;52;62;49;67
143;429;8;22;23;34;61;63;80;20;20;58;58;36;71;74;17;16;22;38;34;46;55;18;20;15;32;41;33;47;55;19;24;22;16;42;42;34;59;58;46;76
144;423;10;21;22;36;59;64;82;19;22;58;58;33;69;73;18;16;22;36;37;43;53;17;20;22;34;38;37;49;56;18;18;18;22;34;35;37;49;51;49;66
145;396;9;17;19;36;53;53;86;18;20;55;54;32;69;68;19;15;22;44;40;45;59;16;21;21;34;40;39;51;55;18;20;23;20;37;41;37;54;60;51;68
146;405;9;21;20;35;61;56;86;15;22;46;48;40;62;65;19;21;19;38;42;44;51;25;26;18;41;46;32;56;64;17;21;17;16;39;35;32;54;56;45;67
147;385;11;17;16;41;53;46;94;17;15;50;50;30;64;61;22;20;17;45;43;45;64;20;20;17;35;37;32;50;52;21;22;22;14;40;41;26;54;54;40;69
148;403;6;18;19;31;54;52;80;19;22;56;56;36;72;73;21;23;19;42;44;42;55;19;18;17;35;37;35;50;53;17;17;19;22;34;35;37;50;50;54;60
149;426;12;21;21;41;59;57;103;19;20;60;57;34;76;71;20;21;19;40;43;40;58;19;18;21;37;36;36;51;50;20;21;18;19;38;32;31;56;50;48;70
150;414;11;22;21;41;60;56;95;17;19;51;52;35;65;67;19;20;19;38;43;41;52;23;18;22;38;36;37;53;55;19;22;18;20;39;36;32;59;49;45;69
151;418;9;22;22;36;59;59;85;21;21;57;61;34;68;84;18;19;23;43;39;47;61;15;22;23;28;39;39;47;55;21;21;21;17;38;34;31;55;51;46;67
152;412;10;19;20;36;53;55;87;22;19;60;60;32;74;72;21;19;20;40;41;42;55;22;20;21;36;39;40;55;57;19;17;18;19;37;36;35;56;52;51;69
153;440;10;21;20;37;65;56;86;24;24;65;64;35;75;76;19;23;20;37;42;42;52;16;20;22;35;38;42;51;54;20;21;20;20;37;34;35;53;49;48;66
154;394;9;19;17;35;55;49;87;19;20;54;55;32;70;74;20;18;18;43;40;42;56;21;21;20;38;38;35;51;58;20;17;20;23;35;38;38;50;55;52;69
155;400;10;21;17;38;57;51;88;19;19;55;57;33;69;75;16;13;19;39;33;45;53;19;19;20;34;37;39;49;53;19;20;19;21;35;35;36;50;52;50;65
156;428;11;22;19;38;61;52;92;22;24;61;61;39;74;77;20;21;18;42;39;42;59;19;20;17;35;38;32;51;53;22;22;19;23;40;37;37;59;55;52;74
157;411;8;22;19;32;62;56;78;20;18;56;60;33;72;77;19;21;16;40;41;42;54;22;18;21;37;36;37;48;52;19;20;21;18;36;41;32;55;57;44;69
158;405;12;19;17;42;55;48;101;17;18;55;53;34;67;65;19;19;18;42;37;41;58;20;19;18;38;31;33;53;47;19;17;21;20;33;39;37;48;51;52;61
159;410;8;19;15;33;55;45;80;23;21;64;61;34;73;76;14;23;16;32;46;37;50;16;21;20;36;36;38;55;52;22;17;22;21;33;41;39;46;56;56;55
160;391;7;20;16;31;57;46;74;21;18;58;58;31;70;77;18;20;19;39;41;44;55;20;20;19;36;40;34;51;54;18;17;18;19;34;38;38;53;56;52;65
161;406;9;20;20;32;56;55;74;19;19;60;56;30;76;70;18;18;18;38;38;41;53;21;22;20;39;43;34;58;59;19;20;23;20;36;43;39;53;59;51;70
162;398;9;18;18;32;53;50;79;22;17;61;60;30;70;78;17;21;18;39;44;41;55;18;18;20;35;35;34;51;56;19;21;22;20;39;40;33;57;54;47;68
163;421;11;20;20;41;58;57;98;19;22;53;57;37;70;75;14;20;20;35;38;42;50;17;20;22;36;36;38;51;47;22;19;18;18;38;36;33;53;55;47;71
